id,author,is_organization,downloads,likes,created_at,last_modified,pipeline_tag,tags,trust_claim,trust_evidence,bias_claim,bias_evidence,interp_claim,interp_evidence,clinical_use_disclaimer,interpretability_method_named,trust_gap,bias_gap,interp_gap,gap_score,any_claim,any_gap,log_downloads,log_likes
mradermacher/MMedS-Llama-3-8B-GGUF,mradermacher,False,380,0,2024-09-04 22:16:42+00:00,2024-09-04 22:44:14+00:00,,"['transformers', 'gguf', 'medical', 'en', 'dataset:Henrychur/MMedC', 'dataset:Henrychur/MedS-Ins', 'base_model:Henrychur/MMedS-Llama-3-8B', 'base_model:quantized:Henrychur/MMedS-Llama-3-8B', 'license:llama3', 'endpoints_compatible', 'region:us', 'conversational']",no,no,no,no,no,no,no,,False,False,False,0,False,False,5.942799375126701,0.0
AravindS2006/Thiruvizhi,AravindS2006,False,0,0,2025-11-20 03:41:58+00:00,2025-11-20 04:24:35+00:00,image-classification,"['torchvision', 'efficientnet', 'medical', 'image-classification', 'healthcare', 'glaucoma', 'pytorch', 'segmentation', 'en', 'dataset:acrima', 'license:mit', 'region:us']",no,no,no,no,yes,yes,yes,Grad-CAM,False,False,False,0,True,False,0.0,0.0
OpenMed/OpenMed-NER-DNADetect-MultiMed-335M-mlx,OpenMed,True,5,0,2026-06-03 21:07:36+00:00,2026-06-23 08:25:11+00:00,token-classification,"['openmed', 'bert', 'mlx', 'apple-silicon', 'token-classification', 'pii', 'de-identification', 'medical', 'clinical', 'base_model:OpenMed/OpenMed-NER-DNADetect-MultiMed-335M', 'base_model:finetune:OpenMed/OpenMed-NER-DNADetect-MultiMed-335M', 'license:apache-2.0', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,1.791759469228055,0.0
Hazy2028/pytorch_model-00001-of-00003.bin,Hazy2028,False,11,0,2024-05-23 02:28:52+00:00,2024-05-23 20:33:29+00:00,feature-extraction,"['transformers', 'pytorch', 'internlm', 'feature-extraction', 'medical', 'custom_code', 'en', 'zh', 'ja', 'fr', 'ru', 'es', 'dataset:Henrychur/MMedC', 'arxiv:2402.13963', 'license:cc-by-4.0', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,2.4849066497880004,0.0
OpenMed/OpenMed-NER-OncologyDetect-BioClinical-108M-mlx,OpenMed,True,11,0,2026-06-03 21:51:39+00:00,2026-06-23 08:25:31+00:00,token-classification,"['openmed', 'bert', 'mlx', 'apple-silicon', 'token-classification', 'pii', 'de-identification', 'medical', 'clinical', 'base_model:OpenMed/OpenMed-NER-OncologyDetect-BioClinical-108M', 'base_model:finetune:OpenMed/OpenMed-NER-OncologyDetect-BioClinical-108M', 'license:apache-2.0', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,2.4849066497880004,0.0
theclipboard13/Qwythos-9B-Claude-Mythos-5-1M-GGUF,theclipboard13,False,586,0,2026-07-12 10:21:12+00:00,2026-07-12 10:21:12+00:00,image-text-to-text,"['gguf', 'llama.cpp', 'quantized', 'qwen3.5', 'reasoning', 'uncensored', 'long-context', '1M-context', 'function-calling', 'multimodal', 'vision', 'cybersecurity', 'biomedical', 'agentic', 'image-text-to-text', 'en', 'base_model:empero-ai/Qwythos-9B-Claude-Mythos-5-1M', 'base_model:quantized:empero-ai/Qwythos-9B-Claude-Mythos-5-1M', 'license:apache-2.0', 'endpoints_compatible', 'region:us', 'conversational']",no,no,no,no,no,no,no,,False,False,False,0,False,False,6.375024819828097,0.0
slkoix/ZORO,slkoix,False,0,0,2023-06-22 06:07:40+00:00,2023-06-22 06:08:30+00:00,token-classification,"['nemo', 'medical', 'token-classification', 'dataset:JosephusCheung/GuanacoDataset', 'arxiv:1910.09700', 'license:bigscience-openrail-m', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,0.0,0.0
rudradcruze/braintumor,rudradcruze,False,0,0,2026-06-13 16:03:40+00:00,2026-06-13 16:09:43+00:00,image-classification,"['pytorch', 'medical', 'brain-toumor', 'classification', 'computer-vision', 'deep-learning', 'ConvNeXT', 'Attention-GRU', 'image-classification', 'license:mit', 'region:us']",no,no,no,no,yes,no,no,,False,False,True,1,True,True,0.0,0.0
LeBabyOx/EEGDetectionMLBaseline,LeBabyOx,False,0,0,2026-04-05 06:03:53+00:00,2026-04-05 06:11:58+00:00,tabular-classification,"['sklearn', 'joblib', 'eeg', 'seizure-detection', 'biomedical', 'time-series', 'imbalanced-data', 'healthcare', 'classical-ml', 'tabular-classification', 'en', 'dataset:LeBabyOx/EEGParquet', 'license:mit', 'region:us']",no,no,no,no,no,no,yes,,False,False,False,0,False,False,0.0,0.0
alhparsa/qwen35-extract-tsv-v2,alhparsa,False,111,0,2026-07-07 04:30:19+00:00,2026-07-07 04:32:54+00:00,image-text-to-text,"['safetensors', 'qwen3_5', 'qwen3.5', 'medical', 'document-extraction', 'vllm', 'image-text-to-text', 'conversational', 'license:other', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,4.718498871295094,0.0
PantagrueLLM/jargon-general-base,PantagrueLLM,True,6,0,2024-05-13 15:09:52+00:00,2024-05-14 13:03:42+00:00,fill-mask,"['transformers', 'pytorch', 'jargon', 'fill-mask', 'linformer', 'legal', 'medical', 'RoBERTa', 'custom_code', 'fr', 'license:mit', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,1.9459101490553132,0.0
Dmitry43243242/icd10-ru-chapter,Dmitry43243242,False,4,0,2026-04-16 07:32:49+00:00,2026-04-16 07:33:15+00:00,text-classification,"['safetensors', 'bert', 'medical', 'icd-10', 'icd-10-chapter', 'single-label-classification', 'russian', 'text-classification', 'ru', 'base_model:ai-forever/ruBert-base', 'base_model:finetune:ai-forever/ruBert-base', 'license:apache-2.0', 'region:us']",no,no,no,no,no,no,yes,,False,False,False,0,False,False,1.6094379124341003,0.0
BSC-NLP4BIA/multiclinner-ro-procedure-bert-ro-cased,BSC-NLP4BIA,True,5,0,2026-06-11 11:41:58+00:00,2026-06-11 14:44:32+00:00,token-classification,"['safetensors', 'bert', 'biomedical', 'clinical', 'EHR', 'NER', 'named-entity-recognition', 'token-classification', 'multiclinner', 'ro', 'procedure', 'base_model:dumitrescustefan/bert-base-romanian-cased-v1', 'base_model:finetune:dumitrescustefan/bert-base-romanian-cased-v1', 'license:cc-by-4.0', 'model-index', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,1.791759469228055,0.0
OpenMed/OpenMed-NER-PharmaDetect-BioPatient-108M-mlx,OpenMed,True,20,0,2026-06-08 07:17:24+00:00,2026-06-23 08:25:48+00:00,token-classification,"['openmed', 'bert', 'mlx', 'apple-silicon', 'token-classification', 'pii', 'de-identification', 'medical', 'clinical', 'base_model:OpenMed/OpenMed-NER-PharmaDetect-BioPatient-108M', 'base_model:finetune:OpenMed/OpenMed-NER-PharmaDetect-BioPatient-108M', 'license:apache-2.0', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,3.044522437723423,0.0
tensorblock/OpenThaiLLM-Prebuilt-7B-GGUF,tensorblock,True,78,0,2024-11-26 11:01:26+00:00,2026-01-27 20:37:32+00:00,text-generation,"['gguf', 'chemistry', 'biology', 'finance', 'legal', 'code', 'medical', 'text-generation-inference', 'TensorBlock', 'GGUF', 'text-generation', 'th', 'zh', 'en', 'base_model:nectec/OpenThaiLLM-Prebuilt-7B', 'base_model:quantized:nectec/OpenThaiLLM-Prebuilt-7B', 'license:apache-2.0', 'endpoints_compatible', 'region:us', 'conversational']",no,no,no,no,no,no,no,,False,False,False,0,False,False,4.3694478524670215,0.0
IIC/xlm-roberta-large-socialdisner,IIC,True,4,0,2023-06-26 08:01:49+00:00,2023-07-07 06:43:47+00:00,token-classification,"['transformers', 'pytorch', 'safetensors', 'xlm-roberta', 'text-classification', 'biomedical', 'clinical', 'spanish', 'xlm-roberta-large', 'token-classification', 'es', 'dataset:IIC/socialdisner', 'license:mit', 'model-index', 'endpoints_compatible', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,1.6094379124341003,0.0
ilhami/AcademicTranslation2024-tr-to-en,ilhami,False,4,2,2024-06-05 23:03:43+00:00,2024-06-22 20:57:36+00:00,translation,"['transformers', 'tensorboard', 'safetensors', 'marian', 'text2text-generation', 'chemistry', 'biology', 'medical', 'translation', 'tr', 'en', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,1.6094379124341003,1.0986122886681098
OpenMed/OpenMed-NER-PathologyDetect-TinyMed-66M-mlx,OpenMed,True,10,0,2026-06-03 22:17:14+00:00,2026-06-23 08:25:46+00:00,token-classification,"['openmed', 'distilbert', 'mlx', 'apple-silicon', 'token-classification', 'pii', 'de-identification', 'medical', 'clinical', 'base_model:OpenMed/OpenMed-NER-PathologyDetect-TinyMed-66M', 'base_model:finetune:OpenMed/OpenMed-NER-PathologyDetect-TinyMed-66M', 'license:apache-2.0', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,2.3978952727983707,0.0
Postlyt/biobbc-biomarker-ner,Postlyt,False,4,0,2025-10-12 05:06:26+00:00,2025-11-16 06:59:24+00:00,,"['pytorch', 'biobbc', 'biomedical', 'named-entity-recognition', 'ner', 'biomarkers', 'bert', 'bilstm', 'crf', 'en', 'dataset:custom-biomarker-dataset', 'license:apache-2.0', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,1.6094379124341003,0.0
GM07/medhal-1b-base,GM07,False,3,2,2025-04-11 00:50:15+00:00,2025-04-16 16:14:54+00:00,,"['safetensors', 'llama', 'medical', 'hallucination', 'evaluator', 'en', 'dataset:GM07/medhal', 'arxiv:2504.08596', 'base_model:meta-llama/Llama-3.2-1B', 'base_model:finetune:meta-llama/Llama-3.2-1B', 'license:apache-2.0', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,1.3862943611198906,1.0986122886681098
xtie/ClinicalT5-PET-impression,xtie,False,3,0,2023-09-03 21:55:28+00:00,2023-10-19 16:11:21+00:00,summarization,"['transformers', 'pytorch', 't5', 'text2text-generation', 'summarization', 'medical', 'en', 'arxiv:2309.10066', 'text-generation-inference', 'endpoints_compatible', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,1.3862943611198906,0.0
pszemraj/long-t5-tglobal-base-sci-simplify,pszemraj,False,46,10,2023-04-06 23:40:30+00:00,2025-12-29 03:43:02+00:00,summarization,"['transformers', 'pytorch', 'onnx', 'safetensors', 'longt5', 'text2text-generation', 'lay summaries', 'paper summaries', 'biology', 'medical', 'summarization', 'en', 'dataset:pszemraj/scientific_lay_summarisation-plos-norm', 'base_model:google/long-t5-tglobal-base', 'base_model:quantized:google/long-t5-tglobal-base', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,3.8501476017100584,2.3978952727983707
balarajr/triage-hospital-agent,balarajr,False,10,0,2026-04-26 04:46:07+00:00,2026-04-26 06:22:29+00:00,text-generation,"['safetensors', 'qwen3_5_text', 'medical', 'triage', 'hospital', 'multi-agent', 'grpo', 'lora', 'qwen', 'clinical-ai', 'crisis-management', 'text-generation', 'conversational', 'en', 'dataset:openlifescienceai/medmcqa', 'dataset:bigbio/med_qa', 'base_model:Qwen/Qwen3.5-4B', 'base_model:adapter:Qwen/Qwen3.5-4B', 'license:apache-2.0', 'region:us']",yes,yes,no,no,no,no,yes,,False,False,False,0,True,False,2.3978952727983707,0.0
gabriel-xiong/llama3b-grpo-v3gptmini-epoch2,gabriel-xiong,False,2,0,2026-06-20 08:03:43+00:00,2026-06-20 08:04:36+00:00,,"['safetensors', 'llama', 'llm-as-rnn', 'clinical', 'mimic-iv', 'grpo', 'lora-merged', 'base_model:meta-llama/Llama-3.2-3B-Instruct', 'base_model:finetune:meta-llama/Llama-3.2-3B-Instruct', 'license:apache-2.0', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,1.0986122886681098,0.0
OpenMed/OpenMed-NER-DiseaseDetect-ModernMed-395M,OpenMed,True,74121,0,2025-07-16 21:16:50+00:00,2025-08-05 09:43:31+00:00,token-classification,"['transformers', 'safetensors', 'modernbert', 'token-classification', 'named-entity-recognition', 'biomedical-nlp', 'disease-entity-recognition', 'medical-diagnosis', 'pathology', 'biocuration', 'disease', 'en', 'arxiv:2508.01630', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",yes,no,no,no,no,no,no,,True,False,False,1,True,True,11.213467663305627,0.0
kaveh/rclip,kaveh,False,61,2,2023-07-06 21:18:25+00:00,2024-04-19 16:08:55+00:00,zero-shot-image-classification,"['transformers', 'pytorch', 'tensorboard', 'safetensors', 'vision-text-dual-encoder', 'feature-extraction', 'clip', 'vision', 'medical', 'bert', 'zero-shot-image-classification', 'en', 'base_model:openai/clip-vit-large-patch14', 'base_model:finetune:openai/clip-vit-large-patch14', 'doi:10.57967/hf/0896', 'license:gpl-3.0', 'endpoints_compatible', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,4.127134385045092,1.0986122886681098
mradermacher/medical_transcription_generator-GGUF,mradermacher,False,113,1,2025-02-26 00:53:56+00:00,2025-07-31 11:04:39+00:00,,"['transformers', 'gguf', 'medical', 'en', 'base_model:alibidaran/medical_transcription_generator', 'base_model:quantized:alibidaran/medical_transcription_generator', 'endpoints_compatible', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,4.736198448394496,0.6931471805599453
UMCU/sap_snomed_medroberta.nl_meantoken,UMCU,False,8,0,2025-01-28 19:03:53+00:00,2025-01-28 19:05:30+00:00,feature-extraction,"['safetensors', 'roberta', 'entity linking', 'bionlp', 'science', 'embedding', 'biomedical', 'lexical semantic', 'biology', 'feature-extraction', 'nl', 'doi:10.57967/hf/4405', 'license:gpl-3.0', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,2.1972245773362196,0.0
mradermacher/Qwen3-32B-Guardpoint-GGUF,mradermacher,False,269,3,2026-01-14 08:41:22+00:00,2026-01-14 16:26:14+00:00,,"['transformers', 'gguf', 'guardpoint', 'valiant', 'valiant-labs', 'qwen', 'qwen-3', 'qwen-3-32b', '32b', 'reasoning', 'science', 'science-reasoning', 'medicine', 'internal-medicine', 'clinical-diagnosis', 'medical-understanding', 'medical-reasoning', 'medical-diagnosis', 'medical-management', 'problem-solving', 'anatomy', 'angiology', 'bariatric', 'cardiovascular', 'dental', 'dermatology', 'endocrinology', 'ENT', 'hematology', 'immunology', 'infectious-disease', 'musculoskeletal', 'neurology', 'obstetrics', 'ophtamology', 'oncology', 'orthopedics', 'pathology', 'psychiatry', 'pulmonology', 'radiology', 'surgery', 'triage', 'urology', 'analytical', 'data', 'data-interpretation', 'expert', 'rationality', 'conversational', 'chat', 'instruct', 'en', 'dataset:sequelbox/Superpotion-DeepSeek-V3.2-Speciale', 'base_model:ValiantLabs/Qwen3-32B-Guardpoint', 'base_model:quantized:ValiantLabs/Qwen3-32B-Guardpoint', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,5.598421958998375,1.3862943611198906
Marci353524/Chating,Marci353524,False,0,0,2025-01-18 14:40:27+00:00,2025-01-18 14:43:50+00:00,,"['bertopic', 'chemistry', 'biology', 'finance', 'legal', 'music', 'art', 'code', 'climate', 'medical', 'not-for-all-audiences', 'text-generation-inference', 'merge', 'moe', 'hu', 'en', 'ru', 'pl', 'ar', 'dataset:fka/awesome-chatgpt-prompts', 'dataset:gopipasala/fka-awesome-chatgpt-prompts', 'base_model:deepseek-ai/DeepSeek-V3', 'base_model:finetune:deepseek-ai/DeepSeek-V3', 'license:openrail', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,0.0,0.0
Yashwanth-Pulimi/llama3-medical-qa,Yashwanth-Pulimi,False,0,1,2026-04-05 05:28:32+00:00,2026-04-05 06:22:34+00:00,text-generation,"['safetensors', 'medical', 'question-answering', 'fine-tuned', 'qlora', 'llama3', 'text-generation', 'conversational', 'en', 'dataset:qiaojin/PubMedQA', 'arxiv:1909.06146', 'base_model:unsloth/Llama-3.2-3B-Instruct', 'base_model:finetune:unsloth/Llama-3.2-3B-Instruct', 'license:llama3.2', 'region:us']",no,no,no,no,no,no,yes,,False,False,False,0,False,False,0.0,0.6931471805599453
bartowski/NeuralHyperion-2.0-Mistral-7B-exl2,bartowski,False,6,1,2024-03-11 16:32:30+00:00,2024-03-11 16:45:10+00:00,text-generation,"['transformers', 'code', 'chemistry', 'medical', 'text-generation', 'en', 'dataset:Locutusque/hyperion-v2.0', 'dataset:argilla/distilabel-capybara-dpo-7k-binarized', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,1.9459101490553132,0.6931471805599453
OpenMed/OpenMed-NER-PharmaDetect-SuperClinical-184M-mlx,OpenMed,True,13,0,2026-06-08 07:19:58+00:00,2026-06-23 08:25:50+00:00,token-classification,"['openmed', 'deberta-v2', 'mlx', 'apple-silicon', 'token-classification', 'pii', 'de-identification', 'medical', 'clinical', 'base_model:OpenMed/OpenMed-NER-PharmaDetect-SuperClinical-184M', 'base_model:finetune:OpenMed/OpenMed-NER-PharmaDetect-SuperClinical-184M', 'license:apache-2.0', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,2.6390573296152584,0.0
lgsantini1/qwen3-8b-medical,lgsantini1,False,3,1,2026-02-12 09:29:40+00:00,2026-02-12 12:43:45+00:00,text-generation,"['transformers', 'safetensors', 'qwen3', 'text-generation', 'conversational', 'medical', 'qa', 'unsloth', 'en', 'pt', 'base_model:unsloth/Qwen3-8B-unsloth-bnb-4bit', 'base_model:finetune:unsloth/Qwen3-8B-unsloth-bnb-4bit', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']",no,no,no,no,no,no,yes,,False,False,False,0,False,False,1.3862943611198906,0.6931471805599453
LIVR-VUB/eHeps-Bodipy-models,LIVR-VUB,True,0,0,2026-02-03 11:45:55+00:00,2026-02-04 10:11:30+00:00,image-segmentation,"['cellpose', 'medical', 'biology', 'microscopy', 'segmentation', 'image-segmentation', 'base_model:mouseland/cellpose-sam', 'base_model:finetune:mouseland/cellpose-sam', 'license:bsd-3-clause', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,0.0,0.0
dhineshkmar/stroke,dhineshkmar,False,3,0,2025-11-24 16:54:59+00:00,2025-11-24 18:37:58+00:00,image-classification,"['convnext', 'medical', 'brain-disease', 'image-classification', 'stroke', 'license:mit', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,1.3862943611198906,0.0
OpenMed/OpenMed-NER-ChemicalDetect-BioClinical-108M-mlx,OpenMed,True,26,0,2026-06-03 20:36:56+00:00,2026-06-23 08:27:43+00:00,token-classification,"['openmed', 'bert', 'mlx', 'apple-silicon', 'token-classification', 'pii', 'de-identification', 'medical', 'clinical', 'base_model:OpenMed/OpenMed-NER-ChemicalDetect-BioClinical-108M', 'base_model:finetune:OpenMed/OpenMed-NER-ChemicalDetect-BioClinical-108M', 'license:apache-2.0', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,3.295836866004329,0.0
sjgdr/Llama3-Med42-70B-mlx-6Bit,sjgdr,False,12,1,2025-10-24 00:25:32+00:00,2025-10-24 00:31:17+00:00,text-generation,"['mlx', 'safetensors', 'llama', 'm42', 'health', 'healthcare', 'clinical-llm', 'mlx-my-repo', 'text-generation', 'conversational', 'en', 'base_model:m42-health/Llama3-Med42-70B', 'base_model:quantized:m42-health/Llama3-Med42-70B', 'license:llama3', '6-bit', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,2.5649493574615367,0.6931471805599453
BrazosDeDios/medgemma-1.5-4b-it-Q6_K-GGUF,BrazosDeDios,False,10,0,2026-02-23 20:27:31+00:00,2026-02-23 20:27:49+00:00,image-text-to-text,"['transformers', 'gguf', 'medical', 'radiology', 'clinical-reasoning', 'dermatology', 'pathology', 'ophthalmology', 'chest-x-ray', 'llama-cpp', 'gguf-my-repo', 'image-text-to-text', 'base_model:google/medgemma-1.5-4b-it', 'base_model:quantized:google/medgemma-1.5-4b-it', 'license:other', 'endpoints_compatible', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,2.3978952727983707,0.0
bikingSolo/prominer-ru-reranker,bikingSolo,False,12,1,2026-06-20 16:43:19+00:00,2026-06-20 23:40:45+00:00,sentence-similarity,"['sentence-transformers', 'safetensors', 'xlm-roberta', 'biomedical', 'entity-linking', 'umls', 'bionnel', 'russian', 'prominer', 'sentence-similarity', 'ru', 'dataset:andorei/BioNNE-L', 'base_model:bikingSolo/prominer-ru-pretrained-cross-encoder', 'base_model:finetune:bikingSolo/prominer-ru-pretrained-cross-encoder', 'license:mit', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",no,no,no,no,no,no,no,,False,False,False,0,False,False,2.5649493574615367,0.6931471805599453
Ch3DS/clinicalSSIBERT,Ch3DS,True,4,0,2025-11-19 08:17:49+00:00,2025-11-21 15:44:07+00:00,,"['safetensors', 'bert', 'medical', 'clinical', 'ssi', 'classification', 'surveillance', 'en', 'base_model:emilyalsentzer/Bio_ClinicalBERT', 'base_model:finetune:emilyalsentzer/Bio_ClinicalBERT', 'license:apache-2.0', 'model-index', 'region:us']",no,no,no,no,no,no,yes,,False,False,False,0,False,False,1.6094379124341003,0.0
